playerid,playername,position
218d204c-ebbb-48f1-b4e7-b3d0015eb2e2,Devan Flanders,Loose Forward
065464dd-fd67-4910-adf9-b3d00166ab3f,Divad Palu,Midfielder
be61e16f-6b41-4c26-a208-b3d00166df81,Dom Gardiner,Loose Forward
fc99c8f6-0719-4858-a04a-b3d00166e0a9,Dominic Ropeti,Loose Forward
d4f16245-3c42-45a7-aa8c-b3d00166e216,Doug Philipson,Half Back
eaea9ab2-360d-430e-8821-b3d00159fec7,Dre Pakeho,Midfielder
5e933ad8-2c77-466f-8a17-b3d00159ae8f,Du'Plessis Kirifi,Loose Forward
4e592053-bd1f-4ecd-9f00-b3d0015e5194,Dylan Pietsch,Outside Back
85b6b94c-126e-4a82-9e75-b3d00166e35a,Dylan Pledger,Half Back
423b144d-a428-4061-a91c-b3d00166e4a2,Eamon Doyle,Lock
af2ffa18-a573-4ee9-91f5-b3d00166e5d7,Eli Langi,Fly Half
989d802d-bd45-4633-a241-b3d00159b12e,Elia Canakaivata,Loose Forward
20dbd815-77a2-497a-94cb-b3d00159b5e7,Emoni Narawa,Outside Back
8120f1db-e747-4df9-9c77-b3d00166e71f,Epeli Momo,Outside Back
d0bac6a0-5513-4bfa-8d79-b3d0015ea6ed,Ere Enari,Half Back
3433ad49-8d64-4b2b-ba7b-b3d0015eaaa0,Etene Nanai-Seturo,Outside Back
d7788f6e-16f9-45c5-bf63-b3d0015e821f,Ethan Blackadder,Loose Forward
63282711-59dc-4884-935c-b3d00159d723,Etonia Waqa,Loose Forward
1a5ceb8e-b5ac-44ac-bc7c-b3d00159fb31,Fabian Holland,Lock
7b0ca89c-527c-49ae-b8f5-b3d00166e850,Faletoi Peni,Midfielder
b0f0b332-4cdb-4e48-b32a-b3d00159bd23,Fehi Fineanganofo,Outside Back
0faacff9-7840-4921-92cf-b3d0015e9888,Fijian Drua Front Row,Front Row
12b18582-cb65-49e3-99a3-b3d00159afea,Filipo Daugunu,Outside Back
51fd5c56-ecc0-4759-bab6-b3d0015e601e,Finlay Christie,Half Back
3dab0341-30d1-4175-a8e1-b3d0015e8f2d,Finn Hurley,Outside Back
9acd0d04-e8cc-4be9-acc1-b3f501242a70,Finn Mackay,Fly Half
3dafdde1-eb6e-45dd-bd68-b3d00166ea09,Fiti Sa,Lock
2c5ccfa8-31e5-4ffd-9d03-b3d00159e6d9,Folau Fakatava,Half Back
828933e3-2ca4-4f45-95b5-b3d0015a04e0,Force Front Row,Front Row
c31f42c4-c5fe-473e-bee2-b3d00166ebf0,Franco Molina,Lock
d621acc6-4c04-4c21-977d-b3d0015e8bdd,Frank Lomani,Half Back
d0c31628-9e45-415e-96ba-b3d00166c0a7,Frankie Goldsbrough,Midfielder
6e9be7fc-1aac-4472-ae24-b3d00159b849,Fraser McReight,Loose Forward
5cb29eb4-a2f6-47b6-ac30-b3d00166ed46,George Bridge,Outside Back
7766f7f0-f265-4ac6-9335-b3d0015e83a4,George Poolman,Outside Back
fb50a3e4-50d8-4019-8440-b3d00166ee69,Glen Vaihu,Outside Back
bcfffd7c-7657-4783-9ebc-b3d00166ef8b,Hamish Muller,Lock
9e7386bc-edb5-4720-820b-b3d00159ecf6,Hamish Stewart,Midfielder
4d9c8b45-d148-4463-93f8-b3d00159dd2e,Harry Godfrey,Fly Half
7057c7fd-c1f2-4ef6-8836-b3d00159e5c0,Harry McLaughlin-Phillips,Fly Half
69facede-05f1-49ed-98fc-b3d00159959a,Harry Potter,Outside Back
0cf615c1-fe37-4622-8fc5-b3d00159c447,Harry Wilson,Loose Forward
41afbfe7-bf1a-40e2-8713-b3d00166f13f,Harvey Cordukes,Lock
bdae032b-c59a-4283-abd5-b3ee010602c4,Henry Palmer,Outside Back
7ab183d7-e55d-4380-ba2d-b3d0016aabd0,Henry Robertson,Half Back
16e14325-491d-4f6a-b40a-b3d0015e583f,Heremaia Murray,Outside Back
90f09c6a-f2ae-4cb6-8609-b3d0015e795e,Highlanders Front Row,Front Row
d275911d-d53c-4369-849a-b3d00159b276,Hoskins Sotutu,Loose Forward
19e291b1-2c40-47d8-9736-b3d00166a709,Hudson Creighton,Midfielder
6e7cdce4-ac64-4b83-9102-b3d0015ead92,Hugh Renton,Loose Forward
0df3126e-8374-4ec1-b998-b3d0015ec20b,Hugo Plummer,Lock
1e99c1e9-7bae-4e38-b7d8-b3d0015e47a8,Hunter Paisami,Midfielder
6bd46607-da11-4fcc-a3c2-b3d0015e7bb2,Hurricanes Front Row,Front Row
05384494-34bc-4680-ab4a-b3d0015ea986,Ilaisa Droasese,Outside Back
ed1a0eb6-c3ea-4f69-8c87-b3d0015e4d13,Inia Tabuavou,Midfielder
c03e2e29-06bd-4331-b316-b3d00166f262,Iosefo Namoce,Midfielder
ad86f008-27e9-4c91-a4b3-b3d00166f3a5,Isaac Henry,Midfielder
0be93881-6ad8-494e-8ed3-b3d00166f4d1,Isaac Hutchinson,Outside Back
6803192e-ad3f-42cb-9e3e-b3d0015e8cf1,Isaia Walker-Leawere,Lock
8d11a868-7ed0-4e35-8f36-b3d00159c695,Isaiah Armstrong-Ravula,Fly Half
7f96bef0-edcf-46cf-9e2e-b3d00166f5f4,Isikeli Basiyalo,Outside Back
d6ea1cb2-c4ae-46a0-96b3-b3d0015e560c,Isikeli Rabitu,Fly Half
5a9d3ce9-e56d-412b-81ad-b3d0015e802e,Isoa Nasilasila,Lock
6fbd4809-e407-4c47-a03e-b3d0015e676d,Isoa Tuwai,Loose Forward
