playerid,playername,position
d673b98d-87b2-4c22-830f-b3d00159d037,Triston Reilly,Outside Back
76da3239-742c-40c6-9af1-b3d00166bf89,Tristyn Cook,Loose Forward
c78fe1c0-f6b5-435a-8507-b3d0015e9b2b,Tuaina Taii Tualima,Loose Forward
46ac1619-afc9-4bb7-b762-b3d0015e7f0b,Tuidraki Samusamuvodre,Midfielder
84eaebc5-b88f-4fee-adc1-b3d0015ebdff,Tuna Tuitama,Outside Back
210372fe-2304-48cc-86f8-b3d0016a9fbb,Tupou Ma'afu-Afungia,Loose Forward
35b2e990-964a-4588-9373-b3d00159d992,Tupou Vaa'i,Lock
6633356b-ae43-4a54-a128-b403010fcacd,Tyler Pulini,Fly Half
99b045d3-d1ce-42a1-8767-b3d0015e9ef1,Vaiolini Ekuasi,Loose Forward
01115164-140e-4413-84fe-b3ee0105fd17,Vaiuta Latu,Loose Forward
5375826a-985a-49b5-a7db-b3f5012421a1,Veikoso Poloniati,Lock
66c8cc21-860d-4ebe-b241-b3d00159cc92,Veveni Lasaqa,Loose Forward
384c289c-6c63-4757-a4b0-b3d0015eca93,Vilive Miramira,Loose Forward
d309e617-26aa-41bc-a075-b3ee0106038e,Virimi Vakatawa,Midfielder
1f348e98-0cf4-490b-afd4-b3d0015e63ba,Wallace Sititi,Loose Forward
6e74bbb2-a168-4bc9-8aa6-b3d00159cb25,Waratahs Front Row,Front Row
ad23642f-27a4-42f2-8c6c-b3d0016aa1d1,Warner Dearns,Lock
551c560a-2c63-4918-a0df-b3d0015a0145,Will Harris,Loose Forward
9601da0b-d4f3-46bb-b41f-b3d001599a4a,Will Jordan,Outside Back
2f858a11-4656-4cdc-9a3d-b3d0016aa38a,Will McCulloch,Outside Back
487a386d-72e6-4226-8ac6-b3d0015eb75e,Will Stodart,Loose Forward
d8c4963a-5333-4607-8a58-b3ee010516ae,Will Tucker,Lock
7a2f0814-b095-46f3-9773-b3d001599f25,William Havili,Outside Back
303ef60c-0a88-4be5-8448-b3d0015e7e00,Xavi Taele,Midfielder
2ec18e8b-76f2-4020-931e-b3d0015e6535,Xavier Roe,Half Back
9ba925fa-c37e-4312-a566-b3f501242693,Xavier Rubens,Midfielder
4c48a664-238c-4044-ba61-b3d0015ec857,Xavier Saifoloi,Loose Forward
793b2027-7095-49d5-983a-b3d0016aa4bf,Xavier Tito-Harris,Outside Back
b5ec505c-a31e-4233-838e-b411011ad402,Zac Lomax,Outside Back
92c96819-5728-4240-a5c4-b3d00166b5af,Zarn Sullivan,Outside Back
